card_id,total_transactions,total_amount,avg_amount,median_amount,std_amount,min_amount,max_amount,preferred_hour,preferred_day,unique_merchants,unique_categories,unique_cities,purchase_count,preferred_pos_mode,preferred_wallet,amount_range,purchase_ratio,avg_merchants_per_transaction,spending_consistency,activity_level,spending_level,cluster
10000,7955,170335602.51,21412.4,7433.95,59340.37,100.0,2200038.0,8,6,487,13,6,0,QR_Code,Bank's QR,2199938.0,0.0,0.0612193588937775,0.26515994435856505,Высокая,Высокий,0
10001,850,28763166.49,33839.02,13963.26,86478.52,140.51,1377642.19,8,6,153,13,6,0,ECOM,Bank's QR,1377501.68,0.0,0.18,0.2812476052951215,Низкая,Средний,0
10002,1731,19637670.01,11344.7,4566.07,25329.52,100.0,440797.47,18,5,300,13,6,0,ECOM,Google Pay,440697.47,0.0,0.1733102253032929,0.3093371856306692,Средняя,Низкий,0
10003,4852,21464554.04,4423.86,1483.11,9620.6,100.0,201425.63,19,5,394,13,6,0,QR_Code,Bank's QR,201325.63,0.0,0.08120362737015664,0.3149896827645919,Высокая,Низкий,0
10004,353,9788625.41,27729.82,10830.92,49188.58,208.65,223563.0,17,5,64,11,6,0,Contactless,Bank's QR,223354.35,0.0,0.1813031161473088,0.3605095789824021,Низкая,Низкий,0
10005,1640,32180153.58,19622.04,6739.2,47231.58,140.04,941019.25,8,6,274,13,6,0,QR_Code,Bank's QR,940879.21,0.0,0.16707317073170733,0.29350751687044024,Средняя,Средний,0
10006,337,10099244.11,29968.08,12085.93,55311.58,100.0,236297.0,19,5,55,11,5,0,Contactless,Bank's QR,236197.0,0.0,0.1632047477744807,0.3514094685649544,Низкая,Низкий,0
10007,72,2324691.18,32287.38,12999.81,52472.5,1069.79,213387.0,19,5,13,7,5,0,Contactless,Bank's QR,212317.21,0.0,0.18055555555555555,0.38092762755209186,Низкая,Низкий,1
10009,11470,273629041.51,23856.06,7328.8,116631.75,100.0,8185369.89,19,6,500,13,6,0,ECOM,Bank's QR,8185269.89,0.0,0.043591979075850044,0.1698087542257225,Очень высокая,Премиум,0
10010,3895,26554979.25,6817.71,1768.38,35035.69,100.0,1891799.61,8,5,442,13,6,0,QR_Code,Bank's QR,1891699.61,0.0,0.1134788189987163,0.16289500972441903,Высокая,Средний,0
10011,2942,47107079.92,16011.92,4012.08,111039.65,100.0,4171517.83,19,6,406,13,6,0,QR_Code,Bank's QR,4171417.83,0.0,0.1380013596193066,0.12602693536175902,Средняя,Средний,0
10012,3449,108904959.05,31575.81,9574.85,92834.47,100.63,2604466.83,8,6,398,13,6,0,ECOM,Bank's QR,2604366.2,0.0,0.11539576688895332,0.25380386572556546,Средняя,Высокий,0
10013,7250,147751268.67,20379.49,6193.55,61526.5,100.0,2877202.81,8,5,484,13,6,0,QR_Code,Bank's QR,2877102.81,0.0,0.06675862068965517,0.2488156238634073,Высокая,Высокий,0
10014,4605,130268994.28,28288.6,7984.05,82877.97,142.2,2221190.52,19,6,444,13,6,0,ECOM,Bank's QR,2221048.32,0.0,0.09641693811074918,0.25447038619613793,Высокая,Высокий,0
10015,355,2346906.96,6611.01,1694.35,13602.04,100.0,103901.53,12,5,64,12,6,0,QR_Code,Bank's QR,103801.53,0.0,0.18028169014084508,0.3270664249086605,Низкая,Низкий,0
10016,8284,160775163.41,19407.91,8426.2,44929.95,100.75,2058398.48,9,5,496,13,6,0,QR_Code,Bank's QR,2058297.73,0.0,0.05987445678416224,0.3016561321747413,Очень высокая,Высокий,0
10017,101,3010628.63,29808.2,10149.43,57489.58,536.17,380236.09,9,4,31,9,6,0,Contactless,Bank's QR,379699.92000000004,0.0,0.3069306930693069,0.3414542729494381,Низкая,Низкий,0
10018,323,9607558.1,29744.76,21521.27,36679.06,128.05,339149.74,8,1,57,11,6,0,ECOM,Apple Pay,339021.69,0.0,0.17647058823529413,0.4478026105695216,Низкая,Низкий,0
10019,4843,137659030.94,28424.33,7795.65,118996.02,157.5,4045161.0,19,5,434,13,6,0,ECOM,Google Pay,4045003.5,0.0,0.0896138756968821,0.1928114402116126,Высокая,Высокий,0
10020,714,11309024.67,15838.97,4757.44,96973.25,256.67,2355192.2,12,6,152,13,6,0,QR_Code,Bank's QR,2354935.5300000003,0.0,0.21288515406162464,0.14040119058024034,Низкая,Низкий,0
